"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 02 11:49:43 CST 2021","Tue Mar 02 11:49:54 CST 2021","11197","case","test_virtual","TestClass","","","除湿模式下点击ECO",""
"passed","Tue Mar 02 10:45:32 CST 2021","Tue Mar 02 10:45:37 CST 2021","5059","case","test_help_feedback2","TestClass1","","","设备管理展示",""
"broken","Tue Mar 02 10:57:05 CST 2021","Tue Mar 02 10:57:15 CST 2021","9959","case","test_instructions","TestClass","","","跳转到产品使用指南页",""
"passed","Tue Mar 02 10:30:02 CST 2021","Tue Mar 02 10:30:05 CST 2021","3277","case","test_air_install","TestClass8","","","购买日期选择",""
"passed","Tue Mar 02 10:49:43 CST 2021","Tue Mar 02 10:49:50 CST 2021","7597","case","test_help_feedback2","TestClass6","","","如何添加场景模式详情",""
"passed","Tue Mar 02 11:38:34 CST 2021","Tue Mar 02 11:38:40 CST 2021","5520","case","test_scene_no","TestClass3","","","点击手动触发按钮测试",""
"passed","Tue Mar 02 11:47:29 CST 2021","Tue Mar 02 11:47:37 CST 2021","7591","case","test_virtual","TestClass","","","虚拟体验UI显示文本测试",""
"passed","Tue Mar 02 10:29:41 CST 2021","Tue Mar 02 10:29:53 CST 2021","11901","case","test_air_install","TestClass8","","","产品线选项展示",""
"passed","Tue Mar 02 10:29:11 CST 2021","Tue Mar 02 10:29:20 CST 2021","9156","case","test_air_install","TestClass7","","","整体展示",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","修改密码测试",""
"passed","Tue Mar 02 10:46:13 CST 2021","Tue Mar 02 10:46:21 CST 2021","8406","case","test_help_feedback2","TestClass2","","","账号注册详情",""
"passed","Tue Mar 02 10:35:24 CST 2021","Tue Mar 02 10:35:55 CST 2021","31160","case","test_air_install","TestClass15","","","设为默认地址",""
"passed","Tue Mar 02 10:46:43 CST 2021","Tue Mar 02 10:46:49 CST 2021","6007","case","test_help_feedback2","TestClass2","","","修改账号密码详情",""
"broken","Tue Mar 02 10:25:51 CST 2021","Tue Mar 02 10:25:51 CST 2021","0","case","test_air_install","TestClass","","","进入服务声明页面",""
"passed","Tue Mar 02 10:37:24 CST 2021","Tue Mar 02 10:37:26 CST 2021","1319","case","test_boot","TestClass","","","点击不同意隐私声明按钮测试",""
"passed","Tue Mar 02 11:07:11 CST 2021","Tue Mar 02 11:07:19 CST 2021","7756","case","test_login_phone","TestClass","","","正确账号密码点击登录测试",""
"passed","Tue Mar 02 10:53:44 CST 2021","Tue Mar 02 10:53:46 CST 2021","1915","case","test_help_feedback2","TestClass13","","","字数限制",""
"passed","Tue Mar 02 11:39:49 CST 2021","Tue Mar 02 11:39:57 CST 2021","7713","case","test_scene_no","TestClass6","","","删除离家回家场景测试",""
"passed","Tue Mar 02 10:43:30 CST 2021","Tue Mar 02 10:43:37 CST 2021","6953","case","test_family_list","TestClass2","","","输入超20位家庭名称测试",""
"passed","Tue Mar 02 10:31:05 CST 2021","Tue Mar 02 10:31:38 CST 2021","32850","case","test_air_install","TestClass10","","","提交按钮判断",""
"passed","Tue Mar 02 10:54:09 CST 2021","Tue Mar 02 10:54:20 CST 2021","11235","case","test_help_feedback2","TestClass14","","","输入限制",""
"passed","Tue Mar 02 11:14:36 CST 2021","Tue Mar 02 11:14:41 CST 2021","5023","case","test_person","TestClass2","","","1-20位昵称点击取消按钮测试",""
"broken","Tue Mar 02 11:44:03 CST 2021","Tue Mar 02 11:44:18 CST 2021","15156","case","test_setting","TestClass7","","","关于奥云家UI显示文本测试",""
"passed","Tue Mar 02 11:00:06 CST 2021","Tue Mar 02 11:00:20 CST 2021","13766","case","test_instructions","TestClass5","","","通过历史记录查看",""
"broken","Tue Mar 02 10:48:06 CST 2021","Tue Mar 02 10:48:21 CST 2021","14294","case","test_help_feedback2","TestClass4","","","如何设置睡眠DIY详情",""
"passed","Tue Mar 02 10:37:02 CST 2021","Tue Mar 02 10:37:07 CST 2021","4718","case","test_air_install","TestClass17","","","删除联系人-确认",""
"passed","Tue Mar 02 11:01:19 CST 2021","Tue Mar 02 11:04:11 CST 2021","172182","case","test_instructions","TestClass7","","","查看知识库",""
"passed","Tue Mar 02 11:41:59 CST 2021","Tue Mar 02 11:42:15 CST 2021","15769","case","test_setting","TestClass4","","","列表模式和宫格模式切换测试",""
"passed","Tue Mar 02 10:49:50 CST 2021","Tue Mar 02 10:49:56 CST 2021","5275","case","test_help_feedback2","TestClass6","","","场景功能设置未执行详情",""
"passed","Tue Mar 02 11:56:08 CST 2021","Tue Mar 02 11:56:18 CST 2021","9947","case","test_virtual","TestClass","","","开机状态下点击设备运行日志功能",""
"broken","Tue Mar 02 11:09:51 CST 2021","Tue Mar 02 11:10:03 CST 2021","12357","case","test_login_register","TestClass","","","点击密码登录按钮，切换到密码登录页面测试",""
"passed","Tue Mar 02 11:46:03 CST 2021","Tue Mar 02 11:46:10 CST 2021","7386","case","test_setting","TestClass7","","","点击分享奥云家按钮，显示奥云家分享方式测试",""
"passed","Tue Mar 02 10:26:51 CST 2021","Tue Mar 02 10:27:00 CST 2021","8709","case","test_air_install","TestClass2","","","产品线选择",""
"passed","Tue Mar 02 11:08:13 CST 2021","Tue Mar 02 11:08:20 CST 2021","7229","case","test_login_phone","TestClass","","","正确账号密码点击登录测试",""
"broken","Tue Mar 02 10:40:45 CST 2021","Tue Mar 02 10:40:56 CST 2021","10752","case","test_device_nologin","TestClass","","","点击右上角+按钮测试",""
"passed","Tue Mar 02 10:30:43 CST 2021","Tue Mar 02 10:30:45 CST 2021","1541","case","test_air_install","TestClass9","","","页面展示",""
"passed","Tue Mar 02 11:48:20 CST 2021","Tue Mar 02 11:48:26 CST 2021","5905","case","test_virtual","TestClass","","","制冷模式下点击电加热",""
"passed","Tue Mar 02 10:36:50 CST 2021","Tue Mar 02 10:37:02 CST 2021","11858","case","test_air_install","TestClass17","","","删除联系人-取消",""
"passed","Tue Mar 02 10:53:36 CST 2021","Tue Mar 02 10:53:44 CST 2021","8684","case","test_help_feedback2","TestClass13","","","字数统计",""
"broken","Tue Mar 02 11:46:57 CST 2021","Tue Mar 02 11:47:11 CST 2021","14303","case","test_setting","TestClass8","","","点击确定按钮，账号退出登录测试",""
"broken","Tue Mar 02 10:41:20 CST 2021","Tue Mar 02 10:41:26 CST 2021","5375","case","test_family_list","TestClass1","","","点击返回键，页面跳转到设备页测试",""
"passed","Tue Mar 02 10:30:29 CST 2021","Tue Mar 02 10:30:43 CST 2021","14322","case","test_air_install","TestClass9","","","进入页面",""
"passed","Tue Mar 02 10:26:44 CST 2021","Tue Mar 02 10:26:51 CST 2021","7159","case","test_air_install","TestClass2","","","产品线选项展示",""
"passed","Tue Mar 02 10:47:20 CST 2021","Tue Mar 02 10:47:25 CST 2021","5071","case","test_help_feedback2","TestClass3","","","添加空调设备失败详情",""
"passed","Tue Mar 02 10:27:34 CST 2021","Tue Mar 02 10:27:40 CST 2021","5526","case","test_air_install","TestClass3","","","产品线未填",""
"passed","Tue Mar 02 11:22:25 CST 2021","Tue Mar 02 11:22:31 CST 2021","6734","case","test_room_list","TestClass","","","房间名称，未输入",""
"passed","Tue Mar 02 10:44:23 CST 2021","Tue Mar 02 10:44:27 CST 2021","3764","case","test_family_list","TestClass3","","","点击家庭名称，进入家庭设置页测试",""
"passed","Tue Mar 02 10:39:42 CST 2021","Tue Mar 02 10:39:48 CST 2021","6372","case","test_device_nologin","TestClass","","","点击虚拟体验按钮测试",""
"broken","Tue Mar 02 10:40:12 CST 2021","Tue Mar 02 10:40:22 CST 2021","10543","case","test_device_nologin","TestClass","","","点击添加设备按钮测试",""
"passed","Tue Mar 02 11:22:51 CST 2021","Tue Mar 02 11:22:58 CST 2021","7190","case","test_room_list","TestClass","","","输入字母",""
"passed","Tue Mar 02 11:44:38 CST 2021","Tue Mar 02 11:44:44 CST 2021","6239","case","test_setting","TestClass7","","","点击数据隐私声明按钮，切换到奥克斯集团隐私政策页面测试",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","时间触发场景测试",""
"passed","Tue Mar 02 11:20:22 CST 2021","Tue Mar 02 11:20:26 CST 2021","4399","case","test_person","TestClass5","","","当前日期点击确定测试",""
"passed","Tue Mar 02 11:24:32 CST 2021","Tue Mar 02 11:24:38 CST 2021","6053","case","test_room_list","TestClass4","","","确认删除",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","正确手机号，忘记密码并修改密码测试",""
"passed","Tue Mar 02 11:22:45 CST 2021","Tue Mar 02 11:22:51 CST 2021","5987","case","test_room_list","TestClass","","","输入字符",""
"passed","Tue Mar 02 10:51:20 CST 2021","Tue Mar 02 10:51:28 CST 2021","7553","case","test_help_feedback2","TestClass9","","","通过还没解决问题进入意见反馈测试",""
"passed","Tue Mar 02 10:49:08 CST 2021","Tue Mar 02 10:49:14 CST 2021","5471","case","test_help_feedback2","TestClass5","","","设备列表页已经配网的空调设备消失详情",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","1","case","test_z","TestClass","","","账号注销测试",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","苹果登录成功测试",""
"broken","Tue Mar 02 11:40:18 CST 2021","Tue Mar 02 11:40:35 CST 2021","16880","case","test_setting","TestClass1","","","设置页UI显示文本测试",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","给好评测试",""
"passed","Tue Mar 02 10:32:00 CST 2021","Tue Mar 02 10:32:32 CST 2021","32087","case","test_air_install","TestClass11","","","正确填写保存",""
"passed","Tue Mar 02 11:52:13 CST 2021","Tue Mar 02 11:52:28 CST 2021","14561","case","test_virtual","TestClass","","","送风模式下点击电加热",""
"passed","Tue Mar 02 11:52:46 CST 2021","Tue Mar 02 11:53:00 CST 2021","13561","case","test_virtual","TestClass","","","送风模式下点击电加热",""
"passed","Tue Mar 02 10:59:08 CST 2021","Tue Mar 02 10:59:14 CST 2021","5227","case","test_instructions","TestClass3","","","错误条码",""
"passed","Tue Mar 02 11:26:14 CST 2021","Tue Mar 02 11:30:09 CST 2021","235434","case","test_room_list","TestClass7","","","不断新增",""
"passed","Tue Mar 02 11:13:11 CST 2021","Tue Mar 02 11:13:13 CST 2021","2561","case","test_person","TestClass2","","","默认昵称点击确认按钮测试",""
"passed","Tue Mar 02 10:56:29 CST 2021","Tue Mar 02 10:56:39 CST 2021","9199","case","test_help_feedback2","TestClass18","","","再次反馈",""
"passed","Tue Mar 02 10:43:56 CST 2021","Tue Mar 02 10:44:05 CST 2021","9236","case","test_family_list","TestClass2","","","输入家庭名称点击清除测试",""
"passed","Tue Mar 02 10:54:20 CST 2021","Tue Mar 02 10:54:24 CST 2021","3762","case","test_help_feedback2","TestClass14","","","清除手机号",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","手机号更换测试",""
"passed","Tue Mar 02 11:54:22 CST 2021","Tue Mar 02 11:54:34 CST 2021","11940","case","test_virtual","TestClass","","","自动模式下点击电加热",""
